E RHE	ph1 HER	pH2 HER	ph3 HER	pH1 FF	pH 2 FF	pH 3 FF	ph 1.5 HER	pH1.5 FF				
-0.672		-0.614	-0.19		-0.66	-0.194	-1.3415	-1.67				
-0.677		-0.6295	-0.1925		-0.6755	-0.197	-1.3735	-1.6875				
-0.682		-0.637	-0.196		-0.683	-0.201	-1.4075	-1.7285				
-0.687		-0.6525	-0.199		-0.691	-0.2045	-1.4405	-1.7605				
-0.692		-0.668	-0.2025		-0.6985	-0.207	-1.473	-1.788				
-0.697		-0.6755	-0.206		-0.714	-0.2115	-1.507	-1.8235				
-0.702		-0.683	-0.21		-0.7215	-0.2155	-1.5405	-1.8595				
-0.707		-0.6985	-0.213		-0.729	-0.2185	-1.5745	-1.889				
-0.712		-0.706	-0.2175		-0.737	-0.223	-1.6075	-1.923				
-0.717		-0.7215	-0.2215		-0.7445	-0.227	-1.6425	-1.9605				
-0.722		-0.729	-0.2235		-0.752	-0.23	-1.6755	-1.9855				
-0.727		-0.7445	-0.2275		-0.76	-0.2345	-1.71	-2.0235				
-0.732		-0.752	-0.233		-0.775	-0.2385	-1.745	-2.0585				
-0.737		-0.7675	-0.235		-0.783	-0.2415	-1.778	-2.086				
-0.742		-0.775	-0.239		-0.7905	-0.245	-1.8135	-2.1185				
-0.747		-0.7905	-0.2435		-0.798	-0.25	-1.848	-2.155				
-0.752		-0.806	-0.2465		-0.8135	-0.253	-1.883	-2.192				
-0.757		-0.8135	-0.2505		-0.8135	-0.2575	-1.9185	-2.228				
-0.762		-0.829	-0.2545		-0.829	-0.262	-1.9535	-2.263				
-0.767		-0.8365	-0.258		-0.8365	-0.265	-1.989	-2.296				
-0.772		-0.852	-0.263		-0.8445	-0.2695	-2.0235	-2.332				
-0.777		-0.8595	-0.2675		-0.8595	-0.2745	-2.0585	-2.377				
-0.782		-0.8675	-0.2695		-0.8675	-0.2775	-2.0945	-2.3985				
-0.787		-0.8825	-0.2745		-0.875	-0.281	-2.1295	-2.4285				
-0.792		-0.8905	-0.2775		-0.8825	-0.286	-2.165	-2.462				
-0.797		-0.9055	-0.281		-0.8905	-0.289	-2.201	-2.4905				
-0.802		-0.921	-0.2845		-0.898	-0.294	-2.237	-2.5295				
-0.807		-0.9285	-0.2895		-0.9135	-0.298	-2.272	-2.5635				
-0.812		-0.944	-0.2925		-0.921	-0.301	-2.308	-2.607				
-0.817		-0.9515	-0.2975		-0.9285	-0.3065	-2.345	-2.634				
-0.822		-0.967	-0.3025		-0.9365	-0.311	-2.3805	-2.6815				
-0.827		-0.9745			-0.944		-2.4155	-2.721				
-0.832		-0.99			-0.9515		-2.4505	-2.748				
-0.837		-0.9975			-0.967		-2.4875	-2.7865				
-0.842		-1.013			-0.9825		-2.5235	-2.8215				
-0.847		-1.0205			-0.99		-2.5605	-2.8515				
-0.852		-1.036			-0.99		-2.597	-2.889				
-0.857		-1.0435			-1.0055		-2.633	-2.9355				
-0.862		-1.059			-1.013		-2.67	-2.945				
-0.867		-1.0745			-1.0285		-2.706	-3.0025				
-0.872		-1.082			-1.036		-2.742	-3.035				
-0.877		-1.0975			-1.0435		-2.7795	-3.0635				
-0.882		-1.105			-1.059		-2.8145	-3.118				
-0.887		-1.1205			-1.0665		-2.8515	-3.151				
-0.892		-1.128			-1.0745		-2.8865	-3.181				
-0.897		-1.1435			-1.082		-2.9235	-3.2275				
-0.902		-1.151			-1.0895		-2.9595	-3.258				
-0.907		-1.1665			-1.105		-2.9955	-3.281				
-0.912		-1.174			-1.113		-3.033	-3.33				
-0.917		-1.1895			-1.128		-3.068	-3.354				
-0.922		-1.197			-1.136		-3.1055	-3.3915				
